Historical data for use in plots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Name:  ,,,,,,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Hist UKL,Hist Keno,7-dta_Keno,Hist Iron Gate,7-dta_IG,Hist LRDC inflow,Hist FFF to River,Hist D1,Hist D91,Hist D11,Hist D12A,Hist D12B,,,,,,,,Source: D:\Work\Modeling2022\Extend_POR_2023\Historic_ag_use_table_calcs_Dec2016_rev_16Mar2023_UPDATE.xlsx,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,Year,WY,SS_INDEX_ag_D1,SS_INDEX_ag_D11_D12A,SS_INDEX_ag_D91,UKL level (ft),"Keno flow
(cfs)","7-day trailing average Keno flow 
(cfs)","Iron Gate flow
(cfs)","7-day trailing average Iron Gate flow 
(cfs)",LRDC inflow (cfs),F&FF to River (cfs),A Canal delivery (cfs),Sta 48 & Miller Hill net delivery (cfs),North Canal delivery (cfs),Ady to Project delivery (cfs),Ady to Refuge delivery (cfs),,,,,,,Year,"Total A1 diversion from UKL and LRDC inflow during SS
(taf)","Total A2 diversion from UKL and LRDC inflow SS (Mar-Sep)
(taf)",Water bank (taf),SS actual historic Project deliveries (taf; no water bank),Estimate of demand: SS actual historic Project diversions plus water bank (taf),Comment,"Oct-Feb historic Project diversions
(taf)","Historic total annual Project demand
(taf)",WY total Ady to Refuge delivery (taf),Dec-Feb (WY) total Ady to Refuge delivery (taf),Mar-Jul (WY) total Ady to Refuge delivery (taf),Aug-Nov (CY) total Ady to Refuge delivery (taf),,
10/1/1980,1980,1981,1,0,1,4139.38,986,986,1350,1350,239,49,591,0,25,117,0,,,,,,,1981,367,23,0,390,390,,30,420,26,0,14,13,,
10/2/1980,1980,1981,1,0,1,4139.35,992,989,1350,1350,238,72,591,0,22,106,0,,,,,,,1982,316,23,0,339,339,,33,372,10,0,7,3,,
10/3/1980,1980,1981,1,0,1,4139.31,998,992,1350,1350,235,77,571,0,26,126,0,,,,,,,1983,315,26,0,341,341,,34,375,10,0,5,7,,
10/4/1980,1980,1981,1,0,1,4139.31,998,994,1350,1350,205,132,545,0,29,79,0,,,,,,,1984,337,31,0,368,368,,33,401,10,0,6,3,,
10/5/1980,1980,1981,1,0,1,4139.3,998,994,1340,1348,169,132,521,-4,30,7,0,,,,,,,1985,373,30,0,403,403,,41,445,21,0,15,6,,
10/6/1980,1980,1981,1,0,1,4139.28,998,995,1340,1347,139,44,541,-12,10,8,0,,,,,,,1986,354,45,0,399,399,,48,447,21,2,10,11,,
10/7/1980,1980,1981,1,0,1,4139.26,992,995,1340,1346,134,44,571,-12,10,12,0,,,,,,,1987,373,46,0,419,419,,42,462,19,0,12,9,,
10/8/1980,1980,1981,1,0,1,4139.26,992,995,1340,1344,116,49,591,0,9,13,0,,,,,,,1988,375,48,0,423,423,,37,460,17,0,6,11,,
10/9/1980,1980,1981,1,0,1,4139.3,992,995,1340,1343,81,61,576,-5,9,14,0,,,,,,,1989,345,37,0,382,382,,30,413,24,0,12,9,,
10/10/1980,1980,1981,1,0,1,4139.2,992,995,1340,1341,77,44,562,-5,9,14,0,,,,,,,1990,375,42,0,417,417,,36,453,23,0,15,9,,
10/11/1980,1980,1981,1,0,1,4139.13,992,994,1340,1340,83,39,560,0,9,21,0,,,,,,,1991,371,43,0,414,414,,52,466,32,5,16,14,,
10/12/1980,1980,1981,1,0,1,4139.14,992,993,1350,1341,83,17,537,-12,9,42,0,,,,,,,1992,341,38,0,379,379,,29,408,15,0,7,10,,
10/13/1980,1980,1981,1,0,1,4139.15,992,992,1340,1341,141,11,475,-3,10,42,0,,,,,,,1993,305,43,0,348,348,,39,387,31,6,8,11,,
10/14/1980,1980,1981,1,0,1,4139.2,998,993,1360,1344,212,61,397,-5,12,41,0,,,,,,,1994,361,56,0,417,417,,32,449,36,6,15,17,,
10/15/1980,1980,1981,1,0,1,4139.22,992,993,1340,1344,251,0,123,-5,28,41,0,,,,,,,1995,309,42,0,351,351,,37,388,24,1,6,28,,
10/16/1980,1980,1981,1,0,1,4139.21,992,993,1340,1344,210,0,0,0,9,45,0,,,,,,,1996,339,49,0,388,388,,33,421,33,1,10,18,,
10/17/1980,1980,1981,1,0,1,4139.2,992,993,1340,1344,190,0,0,0,10,55,0,,,,,,,1997,349,63,0,412,412,,34,447,23,1,4,16,,
10/18/1980,1980,1981,1,0,1,4139.21,992,993,1340,1344,174,74,0,0,9,55,0,,,,,,,1998,291,61,0,353,353,,33,386,21,1,5,14,,
10/19/1980,1980,1981,1,0,1,4139.22,992,993,1340,1343,160,11,0,0,10,88,0,,,,,,,1999,366,71,0,437,437,,44,481,15,1,5,10,,
10/20/1980,1980,1981,1,0,1,4139.22,992,993,1340,1343,132,72,0,0,10,90,0,,,,,,,2000,372,64,0,436,436,,32,468,21,3,7,13,,
10/21/1980,1980,1981,1,0,1,4139.22,992,992,1340,1340,184,55,0,0,11,106,0,,,,,,,2001,66,17,110.9,84,402,"Demand estimated as average of 1981, 1990-1992, 1994, 2012, 2014-2015",36,434,19,5,0,5,,
10/22/1980,1980,1981,1,0,1,4139.24,998,993,1340,1340,151,128,0,0,12,98,0,,,,,,,2002,397,48,20,445,465,,50,515,38,11,22,7,,
10/23/1980,1980,1981,1,0,1,4139.26,992,993,1340,1340,117,132,0,0,22,87,0,,,,,,,2003,293,46,65.3,338,404,,24,427,21,10,5,10,,
10/24/1980,1980,1981,1,0,1,4139.26,992,993,1340,1340,99,132,0,0,22,95,0,,,,,,,2004,348,49,64.7,397,462,,39,501,46,20,16,10,,
10/25/1980,1980,1981,1,0,1,4139.28,998,994,1340,1340,95,180,0,0,22,93,0,,,,,,,2005,272,53,91.1,324,415,,36,452,34,8,7,16,,
10/26/1980,1980,1981,1,0,1,4139.28,998,995,1340,1340,96,241,0,0,48,97,0,,,,,,,2006,309,49,46.5,359,405,,29,434,23,0,10,22,,
10/27/1980,1980,1981,1,0,1,4139.31,998,995,1340,1340,98,221,0,0,46,100,0,,,,,,,2007,349,54,51.6,402,454,,40,494,44,11,18,6,,
10/28/1980,1980,1981,1,0,1,4139.31,992,995,1340,1340,89,236,0,0,53,103,0,,,,,,,2008,351,55,0,406,406,,33,439,27,5,9,22,,
10/29/1980,1980,1981,1,0,1,4139.31,992,995,1340,1340,89,277,0,0,52,108,0,,,,,,,2009,350,41,0,391,391,,42,433,46,13,6,20,,
10/30/1980,1980,1981,1,0,1,4139.32,998,995,1340,1340,88,340,0,0,72,111,0,,,,,,,2010,172,34,170.3,206,376,,23,400,7,2,0,11,,
10/31/1980,1980,1981,1,0,1,4139.3,998,996,1340,1340,87,386,0,0,73,118,0,,,,,,,2011,324,48,0,371,371,,32,403,48,6,23,17,,
11/1/1980,1980,1981,0,0,1,4139.31,992,995,1340,1340,90,366,0,0,74,165,0,,,,,,,2012,342,55,37.283,397,434,,37,471,38,1,20,17,,
11/2/1980,1980,1981,0,0,1,4139.35,992,995,1340,1340,89,297,0,0,77,158,0,,,,,,,2013,280,56,75.943,336,412,,19,431,18,7,0,9,,
11/3/1980,1980,1981,0,0,1,4139.36,992,994,1340,1340,85,229,0,0,97,153,0,,,,,,,2014,248,34,116.32,282,399,,18,417,8,1,1,0,,
11/4/1980,1980,1981,0,0,1,4139.36,992,994,1340,1340,83,179,0,0,96,161,0,,,,,,,2015,250,32,84.766,282,367,,22,389,6,0,0,19,,
11/5/1980,1980,1981,0,0,1,4139.36,992,994,1340,1340,83,136,0,0,101,157,0,,,,,,,2016,320,54,0,373,373,,32,405,24,0,0,20,,
11/6/1980,1980,1981,0,0,1,4139.35,992,993,1340,1340,80,132,0,0,96,157,0,,,,,,,2017,323,58,0,382,382,,30,412,33,6,4,35,,
11/7/1980,1980,1981,0,0,1,4139.37,998,993,1340,1340,71,88,0,0,97,171,0,,,,,,,2018,248,35,0,283,402,"Demand estimated as average of 1981, 1990-1992, 1994, 2012, 2014-2015",18,434,26,2,0,10,,
11/8/1980,1980,1981,0,0,1,4139.43,998,994,1340,1340,84,216,0,0,98,173,0,,,,,,,2019,291,49,0,339,339,,37,376,25,0,9,32,,
11/9/1980,1980,1981,0,0,1,4139.45,998,995,1340,1340,84,184,0,0,85,152,0,,,,,,,2020,177,30,0,206,402,"Demand estimated as average of 1981, 1990-1992, 1994, 2012, 2014-2015",13,434,32,4,2,5,,
11/10/1980,1980,1981,0,0,1,4139.49,998,995,1340,1340,83,178,0,0,81,139,0,,,,,,,2021,17,34,0,51,405,"Demand estimated as average of 1988, 2003, 2005, 2010",24,435,2,1,0,0,,
11/11/1980,1980,1981,0,0,1,4139.48,992,995,1350,1341,81,289,0,0,75,139,0,,,,,,,2022,76,25,0,101,402,"Demand estimated as average of 1981, 1990-1992, 1994, 2012, 2014-2015",8,434,1,1,0,0,,
11/12/1980,1980,1981,0,0,1,4139.5,992,995,1350,1343,83,281,0,0,55,139,0,,,,,,,,,,,,,,,,,,,,,
11/13/1980,1980,1981,0,0,1,4139.5,992,995,1350,1344,84,259,0,0,72,126,0,,,,,,,,,,,,,,,,,,,,,
11/14/1980,1980,1981,0,0,1,4139.51,998,995,1340,1344,78,240,0,0,111,139,0,,,,,,,,,,,,,,,,,,,,,
11/15/1980,1980,1981,0,0,1,4139.52,992,995,1340,1344,80,255,0,0,109,133,0,,,,,,,,,,,,,,,,,,,,,
11/16/1980,1980,1981,0,0,0,4139.52,992,994,1340,1344,81,259,0,0,104,133,0,,,,,,,,,,,,,,,,,,,,,
11/17/1980,1980,1981,0,0,0,4139.52,992,993,1340,1344,80,281,0,0,99,136,0,,,,,,,,,,,,,,,,,,,,,
11/18/1980,1980,1981,0,0,0,4139.54,992,993,1340,1343,79,248,0,0,96,132,0,,,,,,,,,,,,,,,,,,,,,
11/19/1980,1980,1981,0,0,0,4139.54,992,993,1340,1341,80,281,0,0,92,132,0,,,,,,,,,,,,,,,,,,,,,
11/20/1980,1980,1981,0,0,0,4139.55,954,987,1340,1340,81,277,0,0,91,126,0,,,,,,,,,,,,,,,,,,,,,
11/21/1980,1980,1981,0,0,0,4139.53,891,972,1340,1340,80,235,0,0,86,119,0,,,,,,,,,,,,,,,,,,,,,
11/22/1980,1980,1981,0,0,0,4139.61,891,958,1360,1343,82,213,0,0,60,132,0,,,,,,,,,,,,,,,,,,,,,
11/23/1980,1980,1981,0,0,0,4139.65,891,943,1350,1344,83,208,0,0,44,126,0,,,,,,,,,,,,,,,,,,,,,
11/24/1980,1980,1981,0,0,0,4139.67,891,929,1350,1346,86,159,0,0,45,126,0,,,,,,,,,,,,,,,,,,,,,
11/25/1980,1980,1981,0,0,0,4139.68,891,914,1350,1347,84,144,0,0,46,139,0,,,,,,,,,,,,,,,,,,,,,
11/26/1980,1980,1981,0,0,0,4139.71,891,900,1340,1347,83,60,0,0,46,119,0,,,,,,,,,,,,,,,,,,,,,
11/27/1980,1980,1981,0,0,0,4139.73,891,891,1340,1347,84,79,0,0,50,126,0,,,,,,,,,,,,,,,,,,,,,
11/28/1980,1980,1981,0,0,0,4139.69,886,890,1340,1347,83,83,0,0,50,139,0,,,,,,,,,,,,,,,,,,,,,
11/29/1980,1980,1981,0,0,0,4139.68,886,890,1340,1344,80,55,0,0,28,126,0,,,,,,,,,,,,,,,,,,,,,
11/30/1980,1980,1981,0,0,0,4139.74,891,890,1340,1343,81,43,0,0,28,126,0,,,,,,,,,,,,,,,,,,,,,
12/1/1980,1980,1981,0,0,0,4139.74,891,890,1340,1341,84,77,0,0,29,119,0,,,,,,,,,,,,,,,,,,,,,
12/2/1980,1980,1981,0,0,0,4139.78,891,890,1400,1349,84,79,0,0,26,102,0,,,,,,,,,,,,,,,,,,,,,
12/3/1980,1980,1981,0,0,0,4139.86,896,890,1380,1354,134,77,0,0,25,102,0,,,,,,,,,,,,,,,,,,,,,
12/4/1980,1980,1981,0,0,0,4140.01,896,891,1370,1359,172,135,0,0,34,123,0,,,,,,,,,,,,,,,,,,,,,
12/5/1980,1980,1981,0,0,0,4140.04,886,891,1360,1361,171,95,0,0,63,118,0,,,,,,,,,,,,,,,,,,,,,
12/6/1980,1980,1981,0,0,0,4140.11,886,891,1350,1363,156,132,0,0,70,62,0,,,,,,,,,,,,,,,,,,,,,
12/7/1980,1980,1981,0,0,0,4140.18,886,890,1350,1364,129,200,0,0,72,59,0,,,,,,,,,,,,,,,,,,,,,
12/8/1980,1980,1981,0,0,0,4140.15,949,899,1490,1386,96,160,0,0,67,63,0,,,,,,,,,,,,,,,,,,,,,
12/9/1980,1980,1981,0,0,0,4140.16,1040,920,1560,1409,88,173,0,0,74,46,0,,,,,,,,,,,,,,,,,,,,,
12/10/1980,1980,1981,0,0,0,4140.18,1100,949,1510,1427,112,127,0,0,77,44,0,,,,,,,,,,,,,,,,,,,,,
12/11/1980,1980,1981,0,0,0,4140.19,1110,980,1510,1447,108,84,0,0,77,47,0,,,,,,,,,,,,,,,,,,,,,
12/12/1980,1980,1981,0,0,0,4140.2,1110,1012,1510,1469,102,126,0,0,74,46,0,,,,,,,,,,,,,,,,,,,,,
12/13/1980,1980,1981,0,0,0,4140.21,1100,1042,1510,1491,92,62,0,0,76,42,0,,,,,,,,,,,,,,,,,,,,,
12/14/1980,1980,1981,0,0,0,4140.23,1100,1073,1510,1514,85,77,0,0,79,47,0,,,,,,,,,,,,,,,,,,,,,
12/15/1980,1980,1981,0,0,0,4140.24,1100,1094,1510,1517,76,72,0,0,81,47,0,,,,,,,,,,,,,,,,,,,,,
12/16/1980,1980,1981,0,0,0,4140.28,1100,1103,1510,1510,78,77,0,0,81,48,0,,,,,,,,,,,,,,,,,,,,,
12/17/1980,1980,1981,0,0,0,4140.29,1100,1103,1510,1510,81,88,0,0,81,49,0,,,,,,,,,,,,,,,,,,,,,
12/18/1980,1980,1981,0,0,0,4140.29,1100,1101,1510,1510,93,125,0,0,81,90,0,,,,,,,,,,,,,,,,,,,,,
12/19/1980,1980,1981,0,0,0,4140.29,1100,1100,1520,1511,98,125,0,0,83,91,0,,,,,,,,,,,,,,,,,,,,,
12/20/1980,1980,1981,0,0,0,4140.31,1100,1100,1520,1513,97,192,0,0,81,84,0,,,,,,,,,,,,,,,,,,,,,
12/21/1980,1980,1981,0,0,0,4140.3,1100,1100,1520,1514,97,130,0,0,79,88,0,,,,,,,,,,,,,,,,,,,,,
12/22/1980,1980,1981,0,0,0,4140.3,1100,1100,1520,1516,100,167,0,0,81,87,0,,,,,,,,,,,,,,,,,,,,,
12/23/1980,1980,1981,0,0,0,4140.32,1060,1094,1470,1510,104,165,0,0,102,84,0,,,,,,,,,,,,,,,,,,,,,
12/24/1980,1980,1981,0,0,0,4140.34,1010,1081,1390,1493,103,149,0,0,98,84,0,,,,,,,,,,,,,,,,,,,,,
12/25/1980,1980,1981,0,0,0,4140.38,1010,1069,1390,1476,104,131,0,0,96,87,0,,,,,,,,,,,,,,,,,,,,,
12/26/1980,1980,1981,0,0,0,4140.42,1010,1056,1430,1463,112,133,0,0,91,80,0,,,,,,,,,,,,,,,,,,,,,
12/27/1980,1980,1981,0,0,0,4140.45,1010,1043,1500,1460,116,175,0,0,86,80,0,,,,,,,,,,,,,,,,,,,,,
12/28/1980,1980,1981,0,0,0,4140.5,1010,1030,1500,1457,116,136,0,0,84,80,0,,,,,,,,,,,,,,,,,,,,,
12/29/1980,1980,1981,0,0,0,4140.52,1010,1017,1500,1454,114,165,0,0,87,77,0,,,,,,,,,,,,,,,,,,,,,
12/30/1980,1980,1981,0,0,0,4140.55,1010,1010,1490,1457,111,135,0,0,81,77,0,,,,,,,,,,,,,,,,,,,,,
12/31/1980,1980,1981,0,0,0,4140.58,1000,1009,1490,1471,104,159,0,0,77,75,0,,,,,,,,,,,,,,,,,,,,,
1/1/1981,1981,1981,0,0,0,4140.6,1000,1007,1490,1486,100,135,0,0,75,66,0,,,,,,,,,,,,,,,,,,,,,
1/2/1981,1981,1981,0,0,0,4140.62,1010,1007,1490,1494,100,134,0,0,76,69,0,,,,,,,,,,,,,,,,,,,,,
1/3/1981,1981,1981,0,0,0,4140.64,1010,1007,1490,1493,97,134,0,0,75,68,0,,,,,,,,,,,,,,,,,,,,,
1/4/1981,1981,1981,0,0,0,4140.67,1000,1006,1490,1491,98,135,0,0,76,69,0,,,,,,,,,,,,,,,,,,,,,
1/5/1981,1981,1981,0,0,0,4140.69,1000,1004,1420,1480,96,107,0,0,82,69,0,,,,,,,,,,,,,,,,,,,,,
1/6/1981,1981,1981,0,0,0,4140.72,1000,1003,1340,1459,96,209,0,0,89,70,0,,,,,,,,,,,,,,,,,,,,,
1/7/1981,1981,1981,0,0,0,4140.7,1000,1003,1340,1437,96,283,0,0,94,69,0,,,,,,,,,,,,,,,,,,,,,
1/8/1981,1981,1981,0,0,0,4140.73,1000,1003,1340,1416,93,283,0,0,92,73,0,,,,,,,,,,,,,,,,,,,,,
1/9/1981,1981,1981,0,0,0,4140.76,1000,1001,1340,1394,94,274,0,0,90,73,0,,,,,,,,,,,,,,,,,,,,,
1/10/1981,1981,1981,0,0,0,4140.79,1000,1000,1340,1373,92,270,0,0,75,70,0,,,,,,,,,,,,,,,,,,,,,
1/11/1981,1981,1981,0,0,0,4140.8,1000,1000,1340,1351,93,262,0,0,74,69,0,,,,,,,,,,,,,,,,,,,,,
1/12/1981,1981,1981,0,0,0,4140.82,1000,1000,1340,1340,93,122,0,0,69,69,0,,,,,,,,,,,,,,,,,,,,,
1/13/1981,1981,1981,0,0,0,4140.84,1000,1000,1340,1340,88,204,0,0,70,69,0,,,,,,,,,,,,,,,,,,,,,
1/14/1981,1981,1981,0,0,0,4140.84,1000,1000,1340,1340,85,179,0,0,70,75,0,,,,,,,,,,,,,,,,,,,,,
1/15/1981,1981,1981,0,0,0,4140.86,1000,1000,1340,1340,83,153,0,0,36,73,0,,,,,,,,,,,,,,,,,,,,,
1/16/1981,1981,1981,0,0,0,4140.88,1000,1000,1340,1340,83,185,0,0,39,77,0,,,,,,,,,,,,,,,,,,,,,
1/17/1981,1981,1981,0,0,0,4140.87,1000,1000,1340,1340,88,157,0,0,39,73,0,,,,,,,,,,,,,,,,,,,,,
1/18/1981,1981,1981,0,0,0,4140.91,1000,1000,1340,1340,88,218,0,0,39,79,0,,,,,,,,,,,,,,,,,,,,,
1/19/1981,1981,1981,0,0,0,4140.91,1000,1000,1340,1340,90,248,0,0,39,73,0,,,,,,,,,,,,,,,,,,,,,
1/20/1981,1981,1981,0,0,0,4140.93,1000,1000,1350,1341,89,233,0,0,0,75,0,,,,,,,,,,,,,,,,,,,,,
1/21/1981,1981,1981,0,0,0,4140.9,998,1000,1340,1341,86,242,0,0,38,74,0,,,,,,,,,,,,,,,,,,,,,
1/22/1981,1981,1981,0,0,0,4140.9,992,999,1340,1341,95,175,0,0,33,71,0,,,,,,,,,,,,,,,,,,,,,
1/23/1981,1981,1981,0,0,0,4141.02,998,998,1340,1341,89,258,0,0,43,74,0,,,,,,,,,,,,,,,,,,,,,
1/24/1981,1981,1981,0,0,0,4141.05,998,998,1340,1341,86,188,0,0,110,75,0,,,,,,,,,,,,,,,,,,,,,
1/25/1981,1981,1981,0,0,0,4141.04,1000,998,1340,1341,86,210,0,0,118,73,0,,,,,,,,,,,,,,,,,,,,,
1/26/1981,1981,1981,0,0,0,4141.04,965,993,1340,1341,85,231,0,0,142,73,0,,,,,,,,,,,,,,,,,,,,,
1/27/1981,1981,1981,0,0,0,4141.1,901,979,1350,1341,93,259,0,0,115,75,0,,,,,,,,,,,,,,,,,,,,,
1/28/1981,1981,1981,0,0,0,4141.14,860,959,1360,1344,93,254,0,0,115,77,0,,,,,,,,,,,,,,,,,,,,,
1/29/1981,1981,1981,0,0,0,4141.24,805,932,1350,1346,98,254,0,0,110,73,0,,,,,,,,,,,,,,,,,,,,,
1/30/1981,1981,1981,0,0,0,4141.28,810,906,1350,1347,112,349,0,0,111,24,0,,,,,,,,,,,,,,,,,,,,,
1/31/1981,1981,1981,0,0,0,4141.28,901,892,1340,1347,117,339,0,0,12,25,0,,,,,,,,,,,,,,,,,,,,,
2/1/1981,1981,1981,0,0,0,4141.3,901,878,1340,1347,117,334,0,0,13,24,0,,,,,,,,,,,,,,,,,,,,,
2/2/1981,1981,1981,0,0,0,4141.33,896,868,1340,1347,108,312,0,0,14,23,0,,,,,,,,,,,,,,,,,,,,,
2/3/1981,1981,1981,0,0,0,4141.36,896,867,1340,1346,99,277,0,0,0,23,0,,,,,,,,,,,,,,,,,,,,,
2/4/1981,1981,1981,0,0,0,4141.38,896,872,1340,1343,87,317,0,0,0,24,0,,,,,,,,,,,,,,,,,,,,,
2/5/1981,1981,1981,0,0,0,4141.41,896,885,1340,1341,84,276,0,0,0,24,0,,,,,,,,,,,,,,,,,,,,,
2/6/1981,1981,1981,0,0,0,4141.44,896,897,1340,1340,85,251,0,0,0,178,0,,,,,,,,,,,,,,,,,,,,,
2/7/1981,1981,1981,0,0,0,4141.46,896,897,1340,1340,91,220,0,0,51,16,0,,,,,,,,,,,,,,,,,,,,,
2/8/1981,1981,1981,0,0,0,4141.48,896,896,1340,1340,88,199,0,0,43,16,0,,,,,,,,,,,,,,,,,,,,,
2/9/1981,1981,1981,0,0,0,4141.5,896,896,1340,1340,87,167,0,0,36,16,0,,,,,,,,,,,,,,,,,,,,,
2/10/1981,1981,1981,0,0,0,4141.52,901,897,1340,1340,88,227,0,0,19,17,0,,,,,,,,,,,,,,,,,,,,,
2/11/1981,1981,1981,0,0,0,4141.53,965,907,1340,1340,89,215,0,0,9,17,0,,,,,,,,,,,,,,,,,,,,,
2/12/1981,1981,1981,0,0,0,4141.56,1000,921,1340,1340,89,231,0,0,9,16,0,,,,,,,,,,,,,,,,,,,,,
2/13/1981,1981,1981,0,0,0,4141.56,1000,936,1350,1341,91,221,0,0,3,16,0,,,,,,,,,,,,,,,,,,,,,
2/14/1981,1981,1981,0,0,0,4141.65,1010,953,1400,1350,126,285,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/15/1981,1981,1981,0,0,0,4141.7,1010,969,1470,1369,356,281,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/16/1981,1981,1981,0,0,0,4141.75,1120,1001,1460,1386,526,281,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/17/1981,1981,1981,0,0,0,4141.84,1040,1021,1660,1431,279,229,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/18/1981,1981,1981,0,0,0,4141.89,896,1011,1800,1497,264,277,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/19/1981,1981,1981,0,0,0,4141.98,891,995,1810,1564,233,274,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/20/1981,1981,1981,0,0,0,4142.07,917,983,1800,1629,180,270,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/21/1981,1981,1981,0,0,0,4142.12,981,979,1800,1686,254,270,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/22/1981,1981,1981,0,0,0,4142.16,1010,979,1790,1731,257,281,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/23/1981,1981,1981,0,0,0,4142.16,1050,969,1790,1779,201,274,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/24/1981,1981,1981,0,0,0,4142.24,1120,981,1790,1797,188,191,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/25/1981,1981,1981,0,0,0,4142.26,1180,1021,1790,1796,176,233,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/26/1981,1981,1981,0,0,0,4142.28,1240,1071,1790,1793,145,285,0,0,0,17,0,,,,,,,,,,,,,,,,,,,,,
2/27/1981,1981,1981,0,0,0,4142.35,1240,1117,1790,1791,134,248,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
2/28/1981,1981,1981,0,0,0,4142.39,1240,1154,1790,1790,137,259,0,0,19,16,0,,,,,,,,,,,,,,,,,,,,,
3/1/1981,1981,1981,1,1,1,4142.42,1240,1187,1780,1789,119,238,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
3/2/1981,1981,1981,1,1,1,4142.44,1240,1214,1720,1779,118,207,0,0,0,16,0,,,,,,,,,,,,,,,,,,,,,
3/3/1981,1981,1981,1,1,1,4142.44,1240,1231,1660,1760,121,248,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/4/1981,1981,1981,1,1,1,4142.52,1240,1240,1690,1746,117,349,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/5/1981,1981,1981,1,1,1,4142.55,1240,1240,1670,1729,122,392,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/6/1981,1981,1981,1,1,1,4142.53,1240,1240,1670,1711,120,390,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/7/1981,1981,1981,1,1,1,4142.54,1240,1240,1660,1693,119,359,0,0,45,0,0,,,,,,,,,,,,,,,,,,,,,
3/8/1981,1981,1981,1,1,1,4142.56,1240,1240,1660,1676,121,274,0,0,5,0,0,,,,,,,,,,,,,,,,,,,,,
3/9/1981,1981,1981,1,1,1,4142.59,1240,1240,1660,1667,105,273,0,0,33,0,0,,,,,,,,,,,,,,,,,,,,,
3/10/1981,1981,1981,1,1,1,4142.62,1240,1240,1660,1667,101,227,0,0,17,0,0,,,,,,,,,,,,,,,,,,,,,
3/11/1981,1981,1981,1,1,1,4142.63,1240,1240,1650,1661,104,359,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/12/1981,1981,1981,1,1,1,4142.62,1240,1240,1630,1656,108,269,0,31,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/13/1981,1981,1981,1,1,1,4142.65,1240,1240,1640,1651,105,178,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/14/1981,1981,1981,1,1,1,4142.63,1250,1241,1630,1647,102,248,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/15/1981,1981,1981,1,1,1,4142.61,1250,1243,1630,1643,101,157,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/16/1981,1981,1981,1,1,1,4142.69,1250,1244,1630,1639,94,157,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/17/1981,1981,1981,1,1,1,4142.69,1250,1246,1630,1634,99,235,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/18/1981,1981,1981,1,1,1,4142.69,1240,1246,1630,1631,96,280,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/19/1981,1981,1981,1,1,1,4142.73,1240,1246,1630,1631,99,285,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/20/1981,1981,1981,1,1,1,4142.73,1240,1246,1640,1631,99,285,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/21/1981,1981,1981,1,1,1,4142.72,1240,1244,1640,1633,98,277,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/22/1981,1981,1981,1,1,1,4142.77,1240,1243,1640,1634,88,155,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/23/1981,1981,1981,1,1,1,4142.79,1240,1241,1640,1636,88,101,0,50,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/24/1981,1981,1981,1,1,1,4142.78,1240,1240,1640,1637,90,136,0,80,0,0,0,,,,,,,,,,,,,,,,,,,,,
3/25/1981,1981,1981,1,1,1,4142.82,1240,1240,1640,1639,89,132,0,100,0,0,0,,,,,,,,,,,,,,,,,,,,,
