Elev(feet),Cap(acre-ft),Area(acres),
4084.1,315.359,64.66,Cell8A
4084.2,321.834,64.776,Cell8A
4084.3,328.318,64.859,Cell8A
4084.4,334.809,64.918,Cell8A
4084.5,341.304,64.958,Cell8A
4084.6,347.803,64.98,Cell8A
4084.7,354.303,64.99,Cell8A
4084.8,360.803,64.993,Cell8A
4084.9,367.303,64.994,Cell8A
4085,373.803,64.995,Cell8A
4085.1,380.302,64.995,Cell8A
4085.2,386.802,64.995,Cell8A
4085.3,393.302,64.995,Cell8A
4085.4,399.801,64.995,Cell8A
4085.5,406.301,64.995,Cell8A
4085.6,412.8,64.995,Cell8A
4085.7,419.3,64.995,Cell8A
4085.8,425.799,64.995,Cell8A
4085.9,432.299,64.995,Cell8A
4086,438.798,64.995,Cell8A
4086.1,445.298,64.995,Cell8A
4086.2,451.797,64.995,Cell8A
4086.3,458.297,64.995,Cell8A
4086.4,464.796,64.995,Cell8A
4086.5,471.296,64.995,Cell8A
4086.6,477.795,64.995,Cell8A
4086.7,484.295,64.995,Cell8A
4086.8,490.794,64.995,Cell8A
4086.9,497.294,64.995,Cell8A
4087,503.793,64.995,Cell8A
4087.1,510.293,64.995,Cell8A
4087.2,516.792,64.995,Cell8A
4087.3,523.292,64.995,Cell8A
4087.4,529.791,64.995,Cell8A
4087.5,536.291,64.995,Cell8A
4087.6,542.79,64.995,Cell8A
4087.7,549.29,64.995,Cell8A
4087.8,555.789,64.995,Cell8A
4087.9,562.289,64.995,Cell8A
4088,568.788,64.995,Cell8A
4088.1,575.288,64.995,Cell8A
4088.2,581.787,64.995,Cell8A
4088.3,588.287,64.995,Cell8A
4088.4,594.786,64.995,Cell8A
4088.5,601.286,64.995,Cell8A
4088.6,607.785,64.995,Cell8A
4088.7,614.285,64.995,Cell8A
4088.8,620.784,64.995,Cell8A
4088.9,627.284,64.995,Cell8A
4089,633.784,64.995,Cell8A
4089.1,640.283,64.995,Cell8A
4089.2,646.783,64.995,Cell8A
4089.3,653.282,64.995,Cell8A
4089.4,659.782,64.995,Cell8A
4089.5,666.281,64.995,Cell8A
4089.6,672.781,64.995,Cell8A
4089.7,679.28,64.995,Cell8A
4089.8,685.78,64.995,Cell8A
4089.9,692.279,64.995,Cell8A
4090,698.779,64.995,Cell8A
4073.1,0,0,Cell8B
4073.2,0.117,1.337,Cell8B
4073.3,0.292,2.242,Cell8B
4073.4,0.544,2.846,Cell8B
4073.5,0.846,3.239,Cell8B
4073.6,1.181,3.528,Cell8B
4073.7,1.542,3.822,Cell8B
4073.8,1.93,4.068,Cell8B
4073.9,2.339,4.26,Cell8B
4074,2.768,4.433,Cell8B
4074.1,3.213,4.598,Cell8B
4074.2,3.675,4.758,Cell8B
4074.3,4.15,4.901,Cell8B
4074.4,4.64,5.028,Cell8B
4074.5,5.14,5.147,Cell8B
4074.6,5.651,5.266,Cell8B
4074.7,6.177,5.386,Cell8B
4074.8,6.712,5.508,Cell8B
4074.9,7.261,5.655,Cell8B
4075,7.824,5.854,Cell8B
4075.1,8.409,6.078,Cell8B
4075.2,9.016,6.297,Cell8B
4075.3,9.644,6.516,Cell8B
4075.4,10.294,6.73,Cell8B
4075.5,10.968,6.935,Cell8B
4075.6,11.661,7.134,Cell8B
4075.7,12.374,7.337,Cell8B
4075.8,13.109,7.548,Cell8B
4075.9,13.866,7.782,Cell8B
4076,14.649,8.049,Cell8B
4076.1,15.463,8.349,Cell8B
4076.2,16.307,8.691,Cell8B
4076.3,17.192,9.108,Cell8B
4076.4,18.128,9.68,Cell8B
4076.5,19.129,10.72,Cell8B
4076.6,20.288,13.201,Cell8B
4076.7,21.826,19.094,Cell8B
4076.8,24.187,30.788,Cell8B
4076.9,28.025,48.348,Cell8B
4077,33.883,72.138,Cell8B
4077.1,42.5,104.025,Cell8B
4077.2,54.661,142.157,Cell8B
4077.3,70.8,181.783,Cell8B
4077.4,90.83,219.214,Cell8B
4077.5,114.528,254.991,Cell8B
4077.6,141.8,291.417,Cell8B
4077.7,172.814,331.197,Cell8B
4077.8,208.065,376.21,Cell8B
4077.9,248.085,426.311,Cell8B
4078,293.346,479.402,Cell8B
4078.1,343.852,527.754,Cell8B
4078.2,398.85,567.974,Cell8B
4078.3,457.556,602.932,Cell8B
4078.4,519.672,635.994,Cell8B
4078.5,584.799,664.989,Cell8B
4078.6,652.579,686.728,Cell8B
4078.7,722.165,700.075,Cell8B
4078.8,792.64,707.224,Cell8B
4078.9,863.646,710.795,Cell8B
4079,934.866,712.776,Cell8B
4079.1,1006.232,714.202,Cell8B
4079.2,1077.718,715.37,Cell8B
4079.3,1149.312,716.421,Cell8B
4079.4,1221.005,717.388,Cell8B
4079.5,1292.788,718.258,Cell8B
4079.6,1364.654,719.035,Cell8B
4079.7,1436.593,719.756,Cell8B
4079.8,1508.6,720.415,Cell8B
4079.9,1580.672,721.014,Cell8B
4080,1652.798,721.564,Cell8B
4080.1,1724.979,722.073,Cell8B
4080.2,1797.21,722.55,Cell8B
4080.3,1869.488,722.987,Cell8B
4080.4,1941.805,723.394,Cell8B
4080.5,2014.16,723.78,Cell8B
4080.6,2086.554,724.142,Cell8B
4080.7,2158.987,724.491,Cell8B
4080.8,2231.45,724.83,Cell8B
4080.9,2303.951,725.162,Cell8B
4081,2376.481,725.489,Cell8B
4081.1,2449.049,725.812,Cell8B
4081.2,2521.647,726.136,Cell8B
4081.3,2594.278,726.465,Cell8B
4081.4,2666.941,726.805,Cell8B
4081.5,2739.64,727.163,Cell8B
4081.6,2812.375,727.541,Cell8B
4081.7,2885.149,727.939,Cell8B
4081.8,2957.967,728.366,Cell8B
4081.9,3030.827,728.818,Cell8B
4082,3103.735,729.308,Cell8B
4082.1,3176.695,729.824,Cell8B
4082.2,3249.708,730.353,Cell8B
4082.3,3322.773,730.889,Cell8B
4082.4,3395.892,731.421,Cell8B
4082.5,3469.065,731.939,Cell8B
4082.6,3542.29,732.468,Cell8B
4082.7,3615.571,733.008,Cell8B
4082.8,3688.902,733.54,Cell8B
4082.9,3762.291,734.066,Cell8B
4083,3835.725,734.603,Cell8B
4083.1,3909.219,735.124,Cell8B
4083.2,3982.762,735.615,Cell8B
4083.3,4056.352,736.072,Cell8B
4083.4,4129.986,736.503,Cell8B
4083.5,4203.663,736.946,Cell8B
4083.6,4277.385,737.397,Cell8B
4083.7,4351.153,737.875,Cell8B
4083.8,4424.971,738.389,Cell8B
4083.9,4498.842,738.909,Cell8B
4084,4572.765,739.396,Cell8B
4084.1,4646.732,739.806,Cell8B
4084.2,4720.737,740.158,Cell8B
4084.3,4794.775,740.466,Cell8B
4084.4,4868.841,740.716,Cell8B
4084.5,4942.929,740.913,Cell8B
4084.6,5017.031,741.046,Cell8B
4084.7,5091.145,741.142,Cell8B
4084.8,5165.266,741.217,Cell8B
4084.9,5239.395,741.269,Cell8B
4085,5313.526,741.311,Cell8B
4085.1,5387.662,741.349,Cell8B
4085.2,5461.801,741.377,Cell8B
4085.3,5535.941,741.402,Cell8B
4085.4,5610.084,741.423,Cell8B
4085.5,5684.227,741.432,Cell8B
4085.6,5758.371,741.437,Cell8B
4085.7,5832.516,741.44,Cell8B
4085.8,5906.66,741.444,Cell8B
4085.9,5980.805,741.447,Cell8B
4086,6054.95,741.449,Cell8B
4086.1,6129.095,741.451,Cell8B
4086.2,6203.24,741.454,Cell8B
4086.3,6277.386,741.456,Cell8B
4086.4,6351.532,741.457,Cell8B
4086.5,6425.677,741.458,Cell8B
4086.6,6499.823,741.459,Cell8B
4086.7,6573.969,741.459,Cell8B
4086.8,6648.115,741.459,Cell8B
4086.9,6722.261,741.459,Cell8B
4087,6796.407,741.459,Cell8B
4087.1,6870.553,741.459,Cell8B
4087.2,6944.698,741.459,Cell8B
4087.3,7018.844,741.459,Cell8B
4087.4,7092.99,741.459,Cell8B
4087.5,7167.136,741.459,Cell8B
4087.6,7241.282,741.459,Cell8B
4087.7,7315.428,741.459,Cell8B
4087.8,7389.574,741.459,Cell8B
4087.9,7463.719,741.459,Cell8B
4088,7537.865,741.459,Cell8B
4088.1,7612.011,741.459,Cell8B
4088.2,7686.157,741.459,Cell8B
4088.3,7760.303,741.459,Cell8B
4088.4,7834.449,741.459,Cell8B
4088.5,7908.595,741.459,Cell8B
4088.6,7982.74,741.459,Cell8B
4088.7,8056.886,741.459,Cell8B
4088.8,8131.032,741.459,Cell8B
4088.9,8205.178,741.459,Cell8B
4089,8279.324,741.459,Cell8B
4089.1,8353.47,741.459,Cell8B
4089.2,8427.616,741.459,Cell8B
4089.3,8501.761,741.459,Cell8B
4089.4,8575.907,741.459,Cell8B
4089.5,8650.053,741.459,Cell8B
4089.6,8724.199,741.459,Cell8B
4089.7,8798.345,741.459,Cell8B
4089.8,8872.491,741.459,Cell8B
4089.9,8946.637,741.459,Cell8B
4090,9020.782,741.459,Cell8B
4073.6,0,0,Cell9A
4073.7,0.06,0.291,Cell9A
4073.8,0.09,0.395,Cell9A
4073.9,0.13,0.521,Cell9A
4074,0.183,0.678,Cell9A
4074.1,0.253,0.861,Cell9A
4074.2,0.339,1.062,Cell9A
4074.3,0.444,1.29,Cell9A
4074.4,0.574,1.543,Cell9A
4074.5,0.726,1.825,Cell9A
4074.6,0.907,2.126,Cell9A
4074.7,1.117,2.439,Cell9A
4074.8,1.356,2.757,Cell9A
4074.9,1.626,3.08,Cell9A
4075,1.927,3.403,Cell9A
4075.1,2.262,3.722,Cell9A
4075.2,2.628,4.037,Cell9A
4075.3,3.023,4.348,Cell9A
4075.4,3.449,4.656,Cell9A
4075.5,3.905,4.956,Cell9A
4075.6,4.389,5.253,Cell9A
4075.7,4.905,5.549,Cell9A
4075.8,5.446,5.846,Cell9A
4075.9,6.023,6.145,Cell9A
4076,6.626,6.441,Cell9A
4076.1,7.264,6.742,Cell9A
4076.2,7.929,7.047,Cell9A
4076.3,8.624,7.359,Cell9A
4076.4,9.352,7.68,Cell9A
4076.5,10.11,8.02,Cell9A
4076.6,10.91,8.415,Cell9A
4076.7,11.756,8.893,Cell9A
4076.8,12.649,9.495,Cell9A
4076.9,13.618,10.296,Cell9A
4077,14.677,11.347,Cell9A
4077.1,15.852,12.749,Cell9A
4077.2,17.194,14.74,Cell9A
4077.3,18.775,17.689,Cell9A
4077.4,20.69,21.768,Cell9A
4077.5,23.064,26.862,Cell9A
4077.6,26.002,33.085,Cell9A
4077.7,29.619,40.485,Cell9A
4077.8,34.039,49.131,Cell9A
4077.9,39.375,58.694,Cell9A
4078,45.713,68.921,Cell9A
4078.1,53.116,79.69,Cell9A
4078.2,61.635,90.736,Cell9A
4078.3,71.273,102.21,Cell9A
4078.4,82.138,114.924,Cell9A
4078.5,94.295,129.665,Cell9A
4078.6,108.044,146.163,Cell9A
4078.7,123.517,163.218,Cell9A
4078.8,140.644,180.13,Cell9A
4078.9,159.537,197.096,Cell9A
4079,180.113,214.599,Cell9A
4079.1,202.46,233.092,Cell9A
4079.2,226.741,253.586,Cell9A
4079.3,253.223,277.832,Cell9A
4079.4,282.391,307.636,Cell9A
4079.5,314.804,342.47,Cell9A
4079.6,350.94,381.341,Cell9A
4079.7,391.211,424.419,Cell9A
4079.8,436.027,471.62,Cell9A
4079.9,485.627,517.931,Cell9A
4080,539.698,559.166,Cell9A
4080.1,597.454,589.712,Cell9A
4080.2,657.606,607.085,Cell9A
4080.3,718.936,615.374,Cell9A
4080.4,780.799,619.508,Cell9A
4080.5,842.929,621.965,Cell9A
4080.6,905.241,623.724,Cell9A
4080.7,967.709,625.141,Cell9A
4080.8,1030.288,626.329,Cell9A
4080.9,1092.988,627.354,Cell9A
4081,1155.774,628.266,Cell9A
4081.1,1218.654,629.05,Cell9A
4081.2,1281.603,629.726,Cell9A
4081.3,1344.61,630.311,Cell9A
4081.4,1407.673,630.838,Cell9A
4081.5,1470.784,631.32,Cell9A
4081.6,1533.945,631.783,Cell9A
4081.7,1597.15,632.229,Cell9A
4081.8,1660.398,632.662,Cell9A
4081.9,1723.687,633.075,Cell9A
4082,1787.019,633.481,Cell9A
4082.1,1850.392,633.884,Cell9A
4082.2,1913.804,634.285,Cell9A
4082.3,1977.258,634.688,Cell9A
4082.4,2040.751,635.101,Cell9A
4082.5,2104.285,635.515,Cell9A
4082.6,2167.863,635.942,Cell9A
4082.7,2231.486,636.383,Cell9A
4082.8,2295.147,636.834,Cell9A
4082.9,2358.863,637.321,Cell9A
4083,2422.627,637.867,Cell9A
4083.1,2486.451,638.463,Cell9A
4083.2,2550.339,639.108,Cell9A
4083.3,2614.292,639.803,Cell9A
4083.4,2678.317,640.573,Cell9A
4083.5,2742.424,641.422,Cell9A
4083.6,2806.617,642.254,Cell9A
4083.7,2870.89,643.082,Cell9A
4083.8,2935.252,643.984,Cell9A
4083.9,2999.702,644.863,Cell9A
4084,3064.239,645.746,Cell9A
4084.1,3128.866,646.612,Cell9A
4084.2,3193.579,647.437,Cell9A
4084.3,3258.366,648.146,Cell9A
4084.4,3323.221,648.786,Cell9A
4084.5,3388.136,649.352,Cell9A
4084.6,3453.104,649.859,Cell9A
4084.7,3518.122,650.375,Cell9A
4084.8,3583.19,650.913,Cell9A
4084.9,3648.317,651.449,Cell9A
4085,3713.491,651.961,Cell9A
4085.1,3778.717,652.413,Cell9A
4085.2,3843.985,652.802,Cell9A
4085.3,3909.29,653.195,Cell9A
4085.4,3974.633,653.587,Cell9A
4085.5,4040.013,653.938,Cell9A
4085.6,4105.427,654.256,Cell9A
4085.7,4170.871,654.546,Cell9A
4085.8,4236.342,654.792,Cell9A
4085.9,4301.834,654.988,Cell9A
4086,4367.344,655.147,Cell9A
4086.1,4432.868,655.289,Cell9A
4086.2,4498.406,655.413,Cell9A
4086.3,4563.955,655.53,Cell9A
4086.4,4629.515,655.647,Cell9A
4086.5,4695.087,655.751,Cell9A
4086.6,4760.669,655.843,Cell9A
4086.7,4826.259,655.93,Cell9A
4086.8,4891.857,656.003,Cell9A
4086.9,4957.462,656.064,Cell9A
4087,5023.072,656.104,Cell9A
4087.1,5088.685,656.133,Cell9A
4087.2,5154.3,656.156,Cell9A
4087.3,5219.917,656.173,Cell9A
4087.4,5285.535,656.185,Cell9A
4087.5,5351.155,656.193,Cell9A
4087.6,5416.775,656.199,Cell9A
4087.7,5482.395,656.203,Cell9A
4087.8,5548.016,656.207,Cell9A
4087.9,5613.637,656.212,Cell9A
4088,5679.258,656.217,Cell9A
4088.1,5744.88,656.22,Cell9A
4088.2,5810.502,656.22,Cell9A
4088.3,5876.124,656.22,Cell9A
4088.4,5941.746,656.22,Cell9A
4088.5,6007.368,656.22,Cell9A
4088.6,6072.99,656.22,Cell9A
4088.7,6138.612,656.22,Cell9A
4088.8,6204.234,656.22,Cell9A
4088.9,6269.856,656.22,Cell9A
4089,6335.478,656.22,Cell9A
4089.1,6401.1,656.22,Cell9A
4089.2,6466.723,656.22,Cell9A
4089.3,6532.345,656.22,Cell9A
4089.4,6597.967,656.22,Cell9A
4089.5,6663.589,656.22,Cell9A
4089.6,6729.211,656.22,Cell9A
4089.7,6794.833,656.22,Cell9A
4089.8,6860.455,656.22,Cell9A
4089.9,6926.077,656.22,Cell9A
4090,6991.699,656.22,Cell9A
